Reaction_ID	Reaction_name	Subsystem	Reaction_formula	design_121	design_124	design_25	Jaccard
TKT1	Transketolase	Pentose Phosphate Pathway	r5p_c + xu5p__D_c  <=> g3p_c + s7p_c 	-4.63 / 9.26	-4.63 / 9.26	0.00 / 0.00	0.00
ALCD2x	Alcohol dehydrogenase (ethanol)	Pyruvate Metabolism	nad_c + etoh_c  <=> h_c + acald_c + nadh_c 	-30.00 / 0.00	0.00 / 0.00	0.00 / 0.00	0.00
USHD	UDP-sugar hydrolase	Lipopolysaccharide Biosynthesis / Recycling	u23ga_c + h2o_c  -> 2 h_c + ump_c + lipidX_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 1.59	0.00
FUM	Fumarase	Citric Acid Cycle	fum_c + h2o_c  <=> mal__L_c 	0.00 / 0.00	-23.56 / 21.51	-25.23 / 56.59	0.00
ETOHtex	Ethanol transport via diffusion (extracellular to periplasm)	Transport, Outer Membrane Porin	etoh_e  <=> etoh_p 	-30.00 / 0.00	0.00 / 0.00	0.00 / 0.00	0.00
EX_etoh_e	Ethanol exchange	Extracellular exchange	etoh_e  -> 	0.00 / 30.00	0.00 / 0.00	0.00 / 0.00	0.00
LPLIPAL2ATG120	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoglycerol, n-C12:0)	Glycerophospholipid Metabolism	2agpg120_c + pg120_c  -> g3pg_c + apg120_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 1.19	0.00
LDH_D	D-lactate dehydrogenase	Pyruvate Metabolism	nad_c + lac__D_c  <=> h_c + pyr_c + nadh_c 	-30.00 / 0.00	-30.00 / 0.00	0.00 / 0.00	0.00
LPLIPAL2ATE120	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)	Glycerophospholipid Metabolism	2agpe120_c + pg120_c  -> apg120_c + g3pe_c 	0.00 / 0.00	0.00 / 0.00	0.00 / 1.17	0.00
POR5	Pyruvate synthase	Pyruvate Metabolism	2 flxso_c + pyr_c + coa_c  <=> h_c + 2 flxr_c + accoa_c + co2_c 	-76.28 / 12.81	-76.28 / 12.81	0.00 / 0.00	0.00
ETOHtrpp	Ethanol reversible transport via diffusion (periplasm)	Transport, Inner Membrane	etoh_p  <=> etoh_c 	-30.00 / 0.00	0.00 / 0.00	0.00 / 0.00	0.00
U23GAAT	UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	Lipopolysaccharide Biosynthesis / Recycling	u3hga_c + 3hmrsACP_c  -> h_c + u23ga_c + ACP_c 	0.00 / 0.01	0.00 / 0.01	0.00 / 1.59	0.01
