id	name	formula
ALATA_D2	D-alanine transaminase	ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2	Sirohydrochlorin dehydrogenase (NAD)	dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO	Coproporphyrinogen oxidase (O2 required)	cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr	Glutathione oxidoreductase	gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c
DHORD5	Dihydroorotic acid (menaquinone-8)	dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2	Glycolate oxidase	glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3	Glycolate oxidase	glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4	Glycolate oxidase	2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3	Phosphofructokinase (s7p)	atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2	Tryptophan synthase (indole)	indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5	Glycerol-3-phosphate dehydrogenase (ubiquinone-8)	glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e	N-Acetyl-D-glucosamine exchange	acgam_e --> 
EX_cellb_e	Cellobiose exchange	cellb_e --> 
EX_chol_e	Choline exchange	chol_e --> 
LEUTAi	Leucine transaminase (irreversible)	4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr	Shikimate dehydrogenase	3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
G5SD	Glutamate-5-semialdehyde dehydrogenase	glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2	Alanine transaminase	ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI	Mannose-6-phosphate isomerase	man6p_c <=> f6p_c
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS	3,4-Dihydroxy-2-butanone-4-phosphate synthase	ru5p__D_c --> db4p_c + for_c + h_c
RBFK	Riboflavin kinase	atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN	Acid phosphatase (FMN)	fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb	Riboflavin synthase	2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e	Phosphate exchange	pi_e <=> 
EX_h_e	H+ exchange	h_e <=> 
DMATT	Dimethylallyltranstransferase	dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT	Geranyltranstransferase	grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S	Uroporphyrinogen-III synthase	hmbil_c --> h2o_c + uppg3_c
UPPDC1	Uroporphyrinogen decarboxylase (uroporphyrinogen III)	4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP	Thymidine phosphorylase	pi_c + thymd_c <=> 2dr1p_c + thym_c
EX_ade_e	Adenine exchange	ade_e --> 
EX_4abut_e	4-Aminobutanoate exchange	4abut_e --> 
EX_ac_e	Acetate exchange	ac_e --> 
EX_akg_e	2-Oxoglutarate exchange	akg_e --> 
EX_ala__L_e	L-Alanine exchange	ala__L_e --> 
EX_arg__L_e	L-Arginine exchange	arg__L_e --> 
EX_asp__L_e	L-Aspartate exchange	asp__L_e --> 
EX_cytd_e	Cytidine exchange	cytd_e --> 
EX_dcyt_e	Deoxycytidine exchange	dcyt_e --> 
EX_fum_e	Fumarate exchange	fum_e --> 
EX_glu__L_e	L-Glutamate exchange	glu__L_e --> 
EX_gua_e	Guanine exchange	gua_e --> 
HCO3E	HCO3 equilibration reaction	co2_c + h2o_c <=> h_c + hco3_c
IMPC	IMP cyclohydrolase	h2o_c + imp_c <=> fprica_c
IMPD	IMP dehydrogenase	h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4	3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA)	3hdcoa_c <=> dc2coa_c + h2o_c
GLUTRS	Glutamyl-tRNA synthetase	atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP	Thiamine-phosphate diphosphorylase	2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1	Uridine kinase  ATPUridine 	atp_c + uri_c --> adp_c + h_c + ump_c
URIK2	Uridine kinase (GTP:Uridine)	gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1	ATP:cytidine 5'-phosphotransferase	atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2	Cytidine kinase (GTP)	cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT	Xanthine phosphoribosyltransferase	prpp_c + xan_c --> ppi_c + xmp_c
HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	hxan_c + prpp_c --> imp_c + ppi_c
NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	atp_c + dgdp_c <=> adp_c + dgtp_c
DHORTS	Dihydroorotase	dhor__S_c + h2o_c <=> cbasp_c + h_c
OMPDC	Orotidine-5'-phosphate decarboxylase	h_c + orot5p_c --> co2_c + ump_c
CS	Citrate synthase	accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr	Isocitrate dehydrogenase (NADP)	icit_c + nadp_c <=> akg_c + co2_c + nadph_c
ACALD	Acetaldehyde dehydrogenase (acetylating)	acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
ACS	Acetyl-CoA synthetase	ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA	Inorganic diphosphatase	h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK	Phosphoenolpyruvate carboxykinase	atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1	Malic enzyme (NAD)	mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR	Alanine racemase	ala__L_c <=> ala__D_c
ALATA_L	L-alanine transaminase	akg_c + ala__L_c <=> glu__L_c + pyr_c
XYLK	Xylulokinase	atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK	Ribokinase	atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK	Glycerol kinase	atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM	Phosphopentomutase	r1p_c <=> r5p_c
ASPTA	Aspartate transaminase	akg_c + asp__L_c <=> glu__L_c + oaa_c
FBP	Fructose-bisphosphatase	fdp_c + h2o_c --> f6p_c + pi_c
GLGC	Glucose-1-phosphate adenylyltransferase	atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK	Pyruvate kinase	adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO	Arabinose-5-phosphate isomerase	ru5p__D_c <=> ara5p_c
EX_met__L_e	L-Methionine exchange	met__L_e --> 
EX_metsox_S__L_e	L-Methionine S-oxide exchange	metsox_S__L_e --> 
IPPMIb	2-isopropylmalate hydratase	2ippm_c + h2o_c <=> 3c3hmp_c
ACHBS	2-aceto-2-hydroxybutanoate synthase	2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS	Acetolactate synthase	h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT	3-phosphoshikimate 1-carboxyvinyltransferase	pep_c + skm5p_c <=> 3psme_c + pi_c
ANS	Anthranilate synthase	chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT	Anthranilate phosphoribosyltransferase	anth_c + prpp_c --> ppi_c + pran_c
CHORM	Chorismate mutase	chor_c --> pphn_c
CHORS	Chorismate synthase	3psme_c --> chor_c + pi_c
